Company Name,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22
4961,6.15,5.6,5.35,3.39,3.77,5.32,15.63,40.23,6.51,-1.12,-15.85,-13.23,247.56,190.02,62.26,38.37,3.93,90.1,1.47,5.49,35.17,-347753
4967,6.25,3.14,9.7,2.8,2.58,6.19,5.09,-32.28,15.27,81.36,564.93,316.2,187.35,63.64,145.66,59.29,13.49,187.62,2.67,4.44,45.58,-451175
4968,25.64,19.54,33.26,17.16,17.57,27.1,17.6,-3.56,93.72,77.42,243.83,248.31,217.69,135.68,76.28,43.27,4.76,131.8,1.75,3.73,42.19,85261
5269,27.16,53.25,46.84,36.71,50.21,58.91,15.64,97.73,81.66,91.77,114.9,187.35,330.43,267.42,11.17,10.05,8.19,15.68,0.79,5.75,29.65,1193448
5285,4.78,8.06,1.85,3.45,2.58,3.73,9.7,38.83,-8.16,-24.52,-47.42,-61.33,309.87,199,130.48,56.61,4.29,88.47,0.8,3.17,2.8,-213530
5471,23.95,25.1,25.83,22.99,23.18,33.52,20.24,69.71,60.95,74.64,245.25,204.9,357.51,243.52,27.83,21.77,8.96,47.5,1.27,3.67,6.82,334472
6202,17.43,23.9,19.62,18.93,20.84,27.52,27.02,58.86,17.71,11.36,4.1,5.1,338.58,209.6,38.93,28.02,5.82,42.51,0.97,4.22,15.07,1028868
6239,16.75,31.83,10.83,13.91,13.65,11.02,5.62,64.68,21.05,31.33,41.35,37.71,233.91,190.85,92.45,48.04,5.29,35.89,0.71,13.52,1.27,-288280
6243,-2.49,-4.57,-6.54,-3.91,-6.68,-3.96,27.02,15.03,14.24,18.13,58.65,10.02,218.96,97.24,85.93,46.22,3.26,73.52,0.73,2.66,63.67,213
6257,14.57,43.32,9.97,18.76,18.68,12.77,10.52,36.02,31.73,47.67,49.17,39.2,156.39,145.22,99.43,49.86,3.76,24.57,0.45,46.37,0.99,-75973
6271,10.09,27.56,6.04,18.69,17.82,12.39,9.05,16.66,28.95,74.66,123.85,95.12,201.12,162.92,22.12,18.11,6.05,15.25,0.49,4.97,1.4,964439
6415,14.46,25.5,11.49,23.23,22.77,34.51,26.91,182.4,31.41,40.91,65.89,30.31,835.2,560.79,8.38,7.73,11.95,21.7,0.74,3,11.42,709724
6451,9.51,29.6,6.82,17.9,17.58,8.24,12.15,21.76,-20.98,18.68,68.9,30.97,160.58,146.65,111.32,52.68,4.38,23.04,0.39,9.56,2.09,1608637
6515,25.69,26.79,25.7,23.06,22.86,32.4,16.1,58.91,6.66,-5.18,1.69,0.86,226.29,165.81,54.65,35.34,3.81,75.34,1.26,4.63,5.95,319465
6525,18.37,32.03,13.74,24.37,23.11,20.15,7.82,50.49,6.3,10.57,15.35,-3.25,264.3,236.92,31.46,23.93,5.07,26.29,0.77,19.72,2.69,492774
6531,8.55,11.91,10.36,10.48,10.34,11.68,14.2,11.28,4.04,74.5,368.88,161.41,357.23,171.18,35.92,26.43,6.31,43.67,1.02,2.91,279.8,-148260
6533,-0.49,-2.07,-7.53,-28.23,-26.36,-11.45,127.96,53.45,-13.61,-13.68,-3112.36,-1255.26,944.75,822.13,17.32,14.76,5.09,4.73,0.31,0.57,17.57,153645
6552,10.72,20.89,7.69,7.79,8.39,8.1,7.35,48.36,-13.1,-57.72,-71.21,-69.96,137.71,106.78,101.07,50.27,7.41,27.03,0.69,8.98,1.27,-3693
6573,-1.33,-1.19,-11.76,-12.19,-12.32,-6.87,18.22,-0.61,-12.91,-25.19,-16.84,-96.28,114.19,78.07,117.9,54.11,2.24,69.05,0.48,3.79,1.3,-360543
6756,23,20.57,26.1,19.36,18.44,30.37,30.04,65.48,23.85,16.47,44.65,28.63,278.66,204.44,43,30.07,10.24,47.36,1.49,3.87,39.05,336806
8016,15.86,19.89,16.32,16.11,17.33,27.64,17.83,41.99,-3.95,-2.21,0.9,2.62,297.39,242.83,44.14,30.62,9.77,34.74,1.1,4.64,15.01,-815737
8028,8.56,24.96,3.2,1.73,3.3,2.47,19.49,47.37,-9.49,-45.43,-91.26,-82.77,214.13,170.85,120.44,54.64,6.56,27.94,0.46,7.46,0.92,264467
8081,14.35,19.28,16.01,17.94,17.61,18.96,19.69,42.57,32.97,37.28,53.71,33.5,239.59,194.42,49.39,33.06,4.74,52.51,0.99,4.76,5.99,772660
8110,8.8,33.13,-9.1,-0.69,2.93,0.26,4.78,37.73,-6.41,225.34,92.83,795.14,126.66,104.03,54.71,35.36,5.22,13.83,0.36,14.33,0.69,695533
8131,19.77,34.94,3.94,16.93,17.81,17.61,2.05,198.14,6.43,21.52,22.33,7.3,563.49,396.43,16.21,13.95,5.61,20.19,0.75,15.62,1.95,1510414
8150,15.54,31.97,8.72,14.41,12.52,11.28,7.12,99.21,13.1,31.27,54.64,-11.17,301.55,241.63,70.12,41.22,4.9,33.24,0.65,9.26,1.26,499283
8261,7.61,8.18,9.35,7.34,7.19,8.25,8.76,28.78,35.68,36.84,188.17,159.35,215.02,129.33,60.39,37.65,4.38,101.41,1.24,3.05,12.2,-858
8271,8.71,6.63,7.72,5.33,5.63,10.92,11.31,6.45,-3.73,-14.54,-23.7,-14.69,269.64,146.69,38.19,27.64,8.41,59.6,1.76,6.65,8.16,282761
3073,3.08,75.05,3.41,8.22,15.03,-0.05,29.47,7.37,-54.91,-41.02,119.7,108.02,46.17,42.75,280.08,73.69,10.22,2.98,0.08,80.04,0.2,127961
3105,20.02,49.07,16.59,32.74,34.17,25.81,10.98,100.61,29.09,59.91,89.42,101.14,279.29,169.25,50.89,33.73,11.95,22.19,0.54,2.82,1.28,-268235
3122,-1.78,-2.63,-4.23,-5.66,-5.04,-7.57,30.65,-42.34,14.81,3.87,49.42,53.05,369.44,256.48,21.22,17.5,7.66,35.86,0.91,4.71,2.76,-887
3141,8.07,12.71,6.21,8.65,7.69,10.08,30,53.18,0.38,-0.26,-2.73,-5.65,331.26,226.16,32.78,24.69,5.58,45.38,0.83,2.24,14.99,-1359
3169,13.26,26.72,10.91,24.36,24.03,31.65,27.77,109.09,-7.69,-0.88,1.6,-4.05,656.64,601.17,16.27,13.99,8.31,17.45,0.66,5.01,18.44,178090
3188,1.1,11.31,1.99,9.71,7.57,1.44,12.58,-40.19,-64,-57.89,-64.52,-71.22,315.41,18.61,219.88,68.74,2025.74,274.27,0.13,0.12,125.12,-433117
3219,20.81,79.42,12.72,70.78,71.38,9.98,20.7,1338.7,-14.83,21.33,235.09,245.23,11072.02,3494.49,0.91,0.9,3.2,1.47,0.35,2.45,43.57,-302737
3227,15.26,25.92,18.23,20.94,21.19,24.78,36.82,48.47,37.33,37.52,119.21,90.35,314.02,270.37,32.48,24.52,7.64,25.51,0.78,4.31,12.48,2007186
3228,7.75,19.04,0.03,2.32,0.45,1.63,72.34,50.92,48.83,57.14,111.56,102.26,205.63,132.84,43.9,30.51,7.07,39.12,0.54,0.65,2.41,19945
3259,-11.34,1.43,-8.42,-22.53,-7.33,-20.59,47.15,-27.89,1.62,4.59,11.92,71.21,235.94,113,44.27,30.69,8.08,63.68,1.04,2.65,4.23,-55841
3260,7.81,7.95,9.1,6.7,6.22,7.73,9.02,5.37,26.32,65.25,682.27,63.9,144.85,70.12,208.12,67.54,8.82,114.18,1.21,4.89,5.99,1761894
3264,17.82,53.06,9.93,22.31,22.48,12.45,11.96,78.97,16.41,31.03,41.59,46.33,160.41,143.22,84.15,45.7,4.9,17.33,0.45,0,0.75,-963272
3265,10.03,33.54,0.56,5.3,5.82,19.29,8.42,126.85,11.99,34.14,189.99,-11.42,564.31,538.87,24.6,19.74,2.82,14.44,0.4,27.26,1.26,397541
3268,-0.42,-0.56,-14.95,-0.06,-1.65,-0.24,8.15,7.05,10.82,18.7,44.65,-114.99,148.9,97.63,158.95,61.38,2.39,122.86,1.01,21.43,6.88,-66378
3317,7.49,10.47,6.79,10.69,9.52,9.63,14.78,47.14,-14.68,-4.42,-10.6,-22.99,401.17,292.94,25.88,20.56,2.39,73.55,0.97,3.46,8.14,64737
3372,2,4.92,-2.66,-5.53,-5.5,-3.31,8.51,-15.77,-5.58,-18.92,10.78,-44.74,368.86,264.13,19.2,16.11,5.06,25.4,0.54,6.36,1.08,-6219
3374,22.19,31.42,23.97,18.93,18.38,17.39,6.59,56.41,49.76,408.01,5108.84,6394.48,136.5,111.37,78.65,44.03,5.32,41.19,0.95,25.51,1.72,964470
3438,7.01,12.23,5.35,8.35,7.28,6.05,25.41,52.82,17.32,30.94,566.49,977.04,265.11,222.57,27.34,21.47,4.53,32.37,0.77,5.3,2.16,217303
3527,3.99,7.85,1.32,0.13,1.68,1.56,33.22,21.52,-37.64,-39.11,-99.15,-89.58,565.86,380.08,17.43,14.85,3.08,50.54,0.68,1.95,8.12,-7609
3529,30.32,50.32,29.61,45.88,46.88,38.44,54.12,147.31,22.11,22.11,27.16,25.79,404.58,391.33,24.01,19.36,12.37,8.35,0.8,0,3.59,410478
3555,-4.72,-40.98,-23.25,-15.41,-42.8,-29.73,20.7,21.58,21.88,126.01,68,16.16,571.95,564.3,21.77,17.88,30.2,1.86,0.5,5.87,367.95,7794
